,Age,Tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,MonthlyCharges_per_Tenure,TotalCharges_per_Tenure,TotalServices
2470,0.5686274509803921,0.3,0,2,0.3533,0.14235037990951224,1,0.03586243191814075,0.0609921408626423,3
1897,0.5490196078431373,0.8142857142857143,1,3,0.4711,0.4652770618093236,0,0.014388459122814192,0.0794546120419491,3
887,0.5686274509803921,0.4714285714285714,0,2,0.5487,0.30223725822577824,1,0.031349706459345775,0.08801870831968071,5
2668,0.6862745098039217,0.9857142857142858,2,2,0.4776000000000001,0.5672484193414583,1,0.0112882247026052,0.08055717711231246,4
685,0.1568627450980392,0.0857142857142857,1,2,0.05010000000000003,0.020317786095000158,0,0.048064107246958775,0.021717709186125048,6
413,0.5098039215686275,0.17142857142857143,0,0,0.7362,0.14333581890939956,1,0.10835967982660905,0.10665671895583427,4
789,0.5490196078431373,0.8142857142857143,1,2,0.6096999999999999,0.5604126855490527,0,0.01836621142544775,0.09744309948640754,4
2147,0.5490196078431373,0.9,0,2,0.08529999999999999,0.218667955010274,0,0.0025603748865182683,0.028980950202340587,4
1268,0.823529411764706,0.9857142857142858,0,2,0.31029999999999996,0.4269384496239268,0,0.007298305423942807,0.05851098074941428,3
2403,0.13725490196078433,0.3714285714285714,1,2,0.8245,0.3313556619584581,0,0.05708379999080796,0.12382989414476593,2
2878,0.6274509803921569,0.9142857142857143,0,1,0.8519000000000001,0.8183243700743037,1,0.022115367770071073,0.1297671409487628,5
2216,0.5294117647058824,0.39999999999999997,1,0,0.9548000000000001,0.4001098129104498,0,0.06030786895371162,0.14055363914583427,3
1973,0.0,0.11428571428571427,0,0,0.8216000000000001,0.10747758785632254,1,0.16811280088824168,0.11284448804794009,3
272,0.7843137254901961,0.7714285714285715,0,0,0.4129,0.4009286144152223,0,0.013660465262541697,0.07136463550587646,2
1586,0.5686274509803921,0.09999999999999999,0,3,0.8898000000000001,0.10253121156248429,1,0.20016454295519903,0.12023154432691245,3
521,0.07843137254901966,0.42857142857142855,0,3,0.9426000000000001,0.4242866356728918,1,0.055588581062938895,0.13964632448961461,3
522,0.21568627450980393,0.22857142857142856,0,0,0.6835,0.1774905112534257,0,0.07823961077339758,0.10216326622025096,3
3399,0.33333333333333337,0.6571428571428571,0,1,0.6427,0.4731078252488174,0,0.024855709105686734,0.10150422507046031,3
350,0.4117647058823529,0.9285714285714286,0,0,0.6267,0.6532105890335745,0,0.01602116148510642,0.10020631467098622,3
3519,0.0,0.8571428571428572,0,1,0.04579999999999998,0.17703975083498574,0,0.0018412178256041484,0.023319731397016,2
1650,0.3137254901960784,0.9,0,2,0.7609000000000001,0.7351890436446379,0,0.02015997505123076,0.11763083798196287,5
2918,0.5882352941176471,0.44285714285714284,0,0,0.43729999999999997,0.24254626887858965,1,0.027828875228857332,0.07370879138931895,3
2952,0.6862745098039217,0.8857142857142858,2,2,0.331,0.4004251054371777,0,0.009177076252839256,0.06125376979710683,3
651,0.07843137254901966,0.42857142857142855,0,2,0.1644,0.13212435233160624,1,0.014410342500380986,0.0377924249646783,5
1283,0.5490196078431373,0.2571428571428571,0,0,0.42619999999999997,0.1405065779851489,1,0.04814453762811411,0.0704355244089885,4
3228,0.6862745098039217,0.7571428571428571,2,1,0.8512000000000002,0.6779868272460697,1,0.027491247217372707,0.1290193720697147,4
3470,0.8431372549019608,0.8571428571428572,2,2,0.6375,0.6116399287414914,0,0.018001033285575806,0.10151882142861657,2
1281,0.1568627450980392,0.8857142857142858,2,2,0.1089,0.23030620538850516,0,0.0033008961032992183,0.03160026155728802,5
1732,0.7450980392156864,0.21428571428571427,0,0,0.7883,0.18797668513665478,0,0.09356703511204119,0.11557302067986129,3
1510,0.21568627450980393,0.6571428571428571,2,2,0.1436,0.19379581032577034,0,0.007249216458918419,0.036588207440976864,4
2716,0.27450980392156865,1.0,2,2,0.15039999999999998,0.2965188348322716,0,0.0033688033330027426,0.037368264743272754,3
168,0.27450980392156865,0.9571428571428572,0,1,0.5259,0.5898571712865615,0,0.012941920553048315,0.08680319142477755,0
3475,0.4117647058823529,0.8142857142857143,0,2,0.5018,0.4858897603057498,0,0.015269534127798683,0.08335211387694814,3
962,0.9019607843137255,0.7571428571428571,0,1,0.7895000000000001,0.6375658457871884,1,0.02559170481841206,0.12082062187898317,6
945,0.4117647058823529,0.014285714285714285,1,2,0.7863,0.2560954557115901,1,0.5518193392533319,0.9493825827810985,5
462,0.8431372549019608,0.0857142857142857,2,1,0.2632,0.037162559072392604,0,0.09316861836328408,0.045207473775012975,5
2636,0.21568627450980393,0.45714285714285713,2,2,0.9936,0.46875127375783143,0,0.05457199582743831,0.14550246607063194,4
328,0.33333333333333337,0.6714285714285715,0,3,0.6990000000000001,0.5166133986136721,0,0.026194559623361202,0.10915765752426189,4
1468,0.4509803921568628,0.5428571428571429,0,2,0.5309999999999999,0.3395844372567872,0,0.02607274776790574,0.08632985832154352,4
2121,0.23529411764705888,0.7714285714285715,2,2,0.27520000000000006,0.31437062576575325,0,0.009496832373409838,0.05412124680098624,2
367,0.07843137254901966,0.21428571428571427,0,1,0.20990000000000003,0.07997520817698581,0,0.03595597324176199,0.044699458336018905,4
3236,0.5294117647058824,0.3857142857142857,0,1,0.45659999999999995,0.21865836436307315,1,0.03346621202474445,0.0759027707343741,2
2833,0.07843137254901966,0.07142857142857142,0,3,0.6399999999999999,0.05920066750904518,0,0.19832075877900637,0.08804774901199552,1
3473,0.4509803921568628,0.3714285714285714,0,3,0.05780000000000002,0.08214149561347775,0,0.010718406583438356,0.02453699679119456,3
2293,0.9019607843137255,0.3,0,1,0.5524,0.19727122110517825,0,0.05052027071725179,0.0876308290041921,2
772,0.6862745098039217,0.8857142857142858,0,2,0.4198,0.4685067122542097,0,0.011526490018166382,0.07312110780688323,3
3030,1.0,0.6142857142857143,0,0,0.7504000000000002,0.4996775144878714,1,0.030890104281315243,0.11544602883923313,4
3353,0.4117647058823529,0.04285714285714286,0,2,0.1175,0.0134604733463926,1,0.10265093698370346,0.024740568223177724,2
2948,0.27450980392156865,0.22857142857142856,0,2,0.9747000000000001,0.2371203602247089,0,0.1056329756768314,0.13912009462001007,4
498,0.8627450980392156,0.4857142857142857,0,3,0.25229999999999997,0.18840227010619245,0,0.0164022879050177,0.05005294937632035,3
2643,0.43137254901960786,0.8857142857142858,1,1,0.6967000000000001,0.6758936684944843,1,0.018852533617480367,0.10927082905444845,3
435,0.8823529411764707,0.34285714285714286,2,0,0.4045,0.17833808469980078,0,0.03449677189943905,0.06837819123369374,5
365,0.9019607843137255,0.3142857142857143,1,0,0.1361,0.09095050506745823,0,0.018841068760517433,0.03419119602117041,3
2501,0.4117647058823529,0.8285714285714286,0,0,0.7838,0.6939876232697875,0,0.0228922200639734,0.12050779178969957,6
276,0.33333333333333337,0.35714285714285715,0,2,0.7285999999999999,0.28787646287340585,0,0.053364202831669046,0.11077810551161418,2
2846,0.3137254901960784,0.8142857142857143,2,1,0.4986,0.4829646129094907,0,0.015177695690797043,0.08279901951394958,3
2827,0.7254901960784313,0.9,0,2,0.43549999999999994,0.48574709942863725,1,0.0116831990097899,0.0748194197284622,4
2284,0.9607843137254902,0.5428571428571429,0,3,0.0325,0.10799788046696862,0,0.004970355659517031,0.021741113691444554,1
407,0.4117647058823529,0.09999999999999999,0,0,0.9741,0.11184492882540947,0,0.21602484969530528,0.13177628095086616,1
2682,1.0,0.7285714285714286,2,3,0.3181,0.3214545175544809,1,0.011680741431876668,0.059175042827000375,3
1957,0.1960784313725491,0.44285714285714284,0,2,0.3764,0.21859482632536753,0,0.024704020228946393,0.06561184573081705,5
844,0.8823529411764707,0.8142857142857143,0,3,0.3263,0.3635382774718095,0,0.010232769848489951,0.06021758207642667,2
1694,0.9411764705882354,0.7571428571428571,1,3,0.4219,0.40012060238855074,1,0.014274495971443972,0.07265864845972737,3
